species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
1,1,39.1,18.7,181,3750,1
1,1,39.5,17.4,186,3800,2
1,1,38.9,17.8,181,3625,2
1,1,38.6,21.2,191,3800,1
1,1,42.5,20.7,197,4500,1
1,1,46,21.5,194,4200,1
1,2,38.2,18.1,185,3950,1
1,2,38.8,17.2,180,3800,1
1,2,35.3,18.9,187,3800,2
1,3,37.2,18.1,178,3900,1
1,3,42.2,18.5,180,3550,2
1,3,40.8,18.4,195,3900,1
1,2,40.1,18.9,188,4300,1
1,2,37.6,17,185,3600,2
1,2,41.1,18.2,192,4050,1
1,1,35.5,17.5,190,3700,2
1,1,35.1,19.4,193,4200,1
1,3,38.9,18.8,190,3600,2
1,3,41.1,18.1,205,4300,1
1,3,39.6,18.1,186,4450,1
1,2,37.8,20,190,4250,1
1,1,37.3,20.5,199,3775,1
1,1,41.4,18.5,202,3875,1
1,1,40.6,19,199,4000,1
1,3,40.7,17,190,3725,1
1,3,39,18.7,185,3650,1
1,3,36,17.1,187,3700,2
1,3,52.8,20,205,4550,1
1,3,46.6,17.8,193,3800,2
1,3,45.2,17.8,198,3950,2
1,3,51.7,20.3,194,3775,1
1,2,45.3,13.8,208,4200,2
1,2,40.9,13.7,214,4650,2
1,2,44.9,13.8,212,4750,2
1,2,42.7,13.7,208,3950,2
1,2,45.5,13.9,210,4200,2
1,2,45.5,15,220,5000,1
1,2,45.2,13.8,215,4750,2
1,2,46.1,13.2,211,4500,2
1,2,47.5,14.2,209,4600,2
1,2,46.5,14.5,213,4400,2
1,2,50.5,15.2,216,5000,2
1,2,46.9,14.6,222,4875,2
2,2,37.7,18.7,180,3600,1
2,3,40.9,18.9,184,3900,1
2,2,41.1,19.1,188,4100,1
2,1,34.6,21.1,198,4400,1
2,1,36.7,18.8,187,3800,2
2,3,38.1,18.6,190,3700,2
2,2,42.2,19.5,197,4275,1
2,1,45.8,18.9,197,4150,1
2,2,40.6,18.8,193,3800,1
2,2,40.6,18.6,183,3550,1
2,3,38.3,19.2,189,3950,1
2,1,40.9,16.8,191,3700,2
2,1,41.8,19.4,198,4450,1
2,1,42.1,19.1,195,4000,1
2,3,40.8,18.9,208,4300,1
2,3,41.1,17.5,190,3900,1
2,2,39.6,20.7,191,3900,2
2,3,50,19.5,196,3900,1
2,3,52,18.1,201,4050,1
2,3,50.5,19.6,201,4050,1
2,3,42.4,17.3,181,3600,2
2,3,52,19,197,4150,1
2,3,54.2,20.8,201,4300,1
2,3,47.5,16.8,199,3900,2
2,3,53.5,19.9,205,4500,1
2,3,49.3,19.9,203,4050,1
2,2,46.6,14.2,210,4850,2
2,2,44,13.6,208,4350,2
2,2,47.5,15,218,4950,2
2,2,45.4,14.6,211,4800,2
2,2,44.5,14.7,214,4850,2
2,2,48.5,15,219,4850,2
2,2,47.4,14.6,212,4725,2
2,2,42,13.5,210,4150,2
2,2,48.7,14.1,210,4450,2
3,3,39.2,21.1,196,4150,1
3,3,38.8,20,190,3950,1
3,2,42.7,18.3,196,4075,1
3,3,39.7,17.9,193,4250,1
3,2,35.9,19.2,189,3800,2
3,2,40.5,18.9,180,3950,1
3,3,39.6,18.8,190,4600,1
3,3,40.3,18.5,196,4350,1
3,1,36.6,17.8,185,3700,2
3,1,41.5,18.3,195,4300,1
3,3,46,18.9,195,4150,2
3,3,52,20.7,210,4800,1
3,2,46.5,13.5,210,4550,2
3,2,46.8,15.4,215,5150,1
3,2,45.1,14.5,215,5000,2
3,2,46.1,15.1,215,5100,1
3,2,48.2,14.3,210,4600,2
3,2,42.6,13.7,213,4950,2
3,2,45.3,13.7,210,4300,2
3,2,49.6,15,216,4750,1
3,2,50.5,15.9,225,5400,1
3,2,44.9,13.3,213,5100,2
3,2,50.1,15,225,5000,1
3,2,43.8,13.9,208,4300,2
3,2,46.2,14.9,221,5300,1
3,2,48.2,15.6,221,5100,1
3,2,46.5,14.8,217,5200,2
3,2,49.1,14.5,212,4625,2
3,2,50,15.9,224,5350,1
3,2,43.4,14.4,218,4600,2
3,2,47.5,14,212,4875,2
3,2,45.5,14.5,212,4750,2
3,2,51.1,16.5,225,5250,1
3,2,41.7,14.7,210,4700,2
3,2,43.5,15.2,213,4650,2
3,2,51.5,16.3,230,5500,1
3,2,46.2,14.1,217,4375,2
3,2,46.8,14.3,215,4850,2
