species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
1,1,39.1,18.7,181,3750,1,2007
1,2,37.7,18.7,180,3600,1,2007
1,2,40.6,18.6,183,3550,1,2007
1,3,41.3,20.3,194,3550,1,2008
1,2,39.7,18.9,184,3550,1,2009
1,1,41.1,18.6,189,3325,1,2009
1,2,46.9,14.6,222,4875,2,2009
1,2,46.8,14.3,215,4850,2,2009
1,2,47.2,15.5,215,4975,2,2009
1,2,42.9,13.1,215,5000,2,2007
1,2,47.2,13.7,214,4925,2,2009
1,3,50.9,19.1,196,3550,1,2008
2,2,45.4,14.6,211,4800,2,2007
2,2,40.9,13.7,214,4650,2,2007
2,2,45.5,13.7,214,4650,2,2007
2,2,46.2,14.5,209,4800,2,2007
2,2,48.2,14.3,210,4600,2,2007
2,2,42.8,14.2,209,4700,2,2007
2,2,43.6,13.9,217,4900,2,2008
2,2,46.6,14.2,210,4850,2,2008
2,2,50.1,15,225,5000,1,2008
2,2,45.8,14.2,219,4700,2,2008
2,2,43.5,14.2,220,4700,2,2008
2,2,45.2,13.8,215,4750,2,2008
2,2,44.9,13.8,212,4750,2,2009
2,2,43.4,14.4,218,4600,2,2009
2,2,47.5,14,212,4875,2,2009
2,2,47.5,15,218,4950,2,2009
2,2,45.5,14.5,212,4750,2,2009
2,2,44.5,14.7,214,4850,2,2009
2,2,49.4,15.8,216,4925,1,2009
2,2,48.4,14.4,203,4625,2,2009
2,2,48.5,15,219,4850,2,2009
2,2,41.7,14.7,210,4700,2,2009
2,2,43.3,14,208,4575,2,2009
2,2,50.5,15.2,216,5000,2,2009
2,2,43.5,15.2,213,4650,2,2009
3,2,41,20,203,4725,1,2009
3,3,41.1,19,182,3425,1,2007
3,2,42.7,18.3,196,4075,1,2009
3,1,37.7,19.8,198,3500,1,2009
3,3,38.1,18.6,190,3700,2,2008
3,1,42.9,17.6,196,4700,1,2008
3,2,41.6,18,192,3950,1,2008
3,2,35,17.9,190,3450,2,2008
3,3,39.6,18.8,190,4600,1,2007
3,1,45.8,18.9,197,4150,1,2008
3,2,37.6,17,185,3600,2,2008
3,2,37.6,19.1,194,3750,1,2008
3,3,34,17.1,185,3400,2,2008
3,2,41.1,19.1,188,4100,1,2008
3,2,42,13.5,210,4150,2,2007
3,2,46.5,13.5,210,4550,2,2007
3,2,47.4,14.6,212,4725,2,2009
3,2,47.7,15,216,4750,2,2008
3,2,47.5,14.2,209,4600,2,2008
3,3,52.7,19.8,197,3725,1,2007
3,3,51.3,18.2,197,3750,1,2007
3,3,46,18.9,195,4150,2,2007
3,3,51.3,19.9,198,3700,1,2007
3,3,46.6,17.8,193,3800,2,2007
3,3,51.7,20.3,194,3775,1,2007
3,3,52,18.1,201,4050,1,2007
3,3,45.9,17.1,190,3575,2,2007
3,3,46.4,18.6,190,3450,2,2007
3,3,52,19,197,4150,1,2007
3,3,46.4,17.8,191,3700,2,2008
3,3,52.8,20,205,4550,1,2008
3,3,54.2,20.8,201,4300,1,2008
3,3,49.7,18.6,195,3600,1,2008
3,3,52,20.7,210,4800,1,2008
3,3,45.5,17,196,3500,2,2008
3,3,50.1,17.9,190,3400,2,2009
3,3,49,19.6,212,4300,1,2009
3,3,51.5,18.7,187,3250,1,2009
3,3,48.1,16.4,199,3325,2,2009
3,3,51.4,19,201,3950,1,2009
3,3,45.7,17.3,193,3600,2,2009
3,3,42.5,17.3,187,3350,2,2009
3,3,52.2,18.8,197,3450,1,2009
3,3,45.6,19.4,194,3525,2,2009
3,3,51.9,19.5,206,3950,1,2009
3,3,46.8,16.5,189,3650,2,2009
3,3,45.7,17,195,3650,2,2009
3,3,49.6,18.2,193,3775,1,2009
3,3,50.8,19,210,4100,1,2009
