species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
1,1,39.5,17.4,186,3800,2
1,1,40.3,18,195,3250,2
1,1,36.7,19.3,193,3450,2
1,1,39.3,20.6,190,3650,1
1,1,41.1,17.6,182,3200,2
1,1,34.6,21.1,198,4400,1
1,1,38.7,19,195,3450,2
1,2,38.2,18.1,185,3950,1
1,2,35.3,18.9,187,3800,2
1,2,40.6,18.6,183,3550,1
1,3,39.5,17.8,188,3300,2
1,3,36.4,17,195,3325,2
1,3,42.2,18.5,180,3550,2
1,3,37.6,19.3,181,3300,2
1,3,36.5,18,182,3150,2
1,3,36,18.5,186,3100,2
1,3,44.1,19.7,196,4400,1
1,3,37,16.9,185,3000,2
1,3,39.6,18.8,190,4600,1
1,3,41.1,19,182,3425,1
1,3,36,17.9,190,3450,2
1,3,42.3,21.2,191,4150,1
1,2,39.6,17.7,186,3500,2
1,2,40.1,18.9,188,4300,1
1,2,35,17.9,190,3450,2
1,2,34.5,18.1,187,2900,2
1,2,41.3,21.1,195,4400,1
1,2,36.4,17.1,184,2850,2
1,2,35.5,16.2,195,3350,2
1,2,41.1,19.1,188,4100,1
1,1,35.9,16.6,190,3050,2
1,1,41.8,19.4,198,4450,1
1,1,33.5,19,190,3600,2
1,1,39.6,17.2,196,3550,2
1,1,42.8,18.5,195,4250,1
1,1,36.2,16.1,187,3550,2
1,1,34.6,17.2,189,3200,2
1,1,42.9,17.6,196,4700,1
1,1,36.7,18.8,187,3800,2
1,3,37.3,17.8,191,3350,2
1,3,36.9,18.6,189,3500,2
1,3,38.3,19.2,189,3950,1
1,3,41.1,18.1,205,4300,1
1,3,40.8,18.9,208,4300,1
1,3,40.3,18.5,196,4350,1
1,3,33.1,16.1,178,2900,2
1,3,43.2,18.5,192,4100,1
1,2,41,20,203,4725,1
1,2,38.2,20,190,3900,1
1,2,38.1,17,181,3175,2
1,2,43.2,19,197,4775,1
1,2,45.6,20.3,191,4600,1
1,1,38.6,17,188,2900,2
1,1,41.1,18.6,189,3325,1
1,1,37.7,19.8,198,3500,1
1,1,40.2,17,176,3450,2
1,1,35.2,15.9,186,3050,2
1,1,40.6,19,199,4000,1
1,1,38.8,17.6,191,3275,2
1,1,41.5,18.3,195,4300,1
1,1,39,17.1,191,3050,2
1,1,38.5,17.9,190,3325,2
1,1,43.1,19.2,197,3500,1
1,3,37.5,18.5,199,4475,1
1,3,38.1,17.6,187,3425,2
1,3,39.7,17.9,193,4250,1
1,3,40.2,17.1,193,3400,2
1,3,40.6,17.2,187,3475,1
1,3,40.7,17,190,3725,1
1,3,37.3,16.8,192,3000,2
1,3,39.2,18.6,190,4250,1
1,3,36,17.8,195,3450,2
1,3,36,17.1,187,3700,2
1,3,41.5,18.5,201,4000,1
1,3,49.2,18.2,195,4400,1
1,3,46.7,17.9,195,3300,2
1,3,51.7,20.3,194,3775,1
1,3,58,17.8,181,3700,2
1,3,47.5,16.8,199,3900,2
1,3,43.2,16.6,187,2900,2
1,3,49.8,17.3,198,3675,2
1,2,45.3,13.8,208,4200,2
1,2,40.9,13.7,214,4650,2
1,2,45.8,14.6,210,4200,2
1,2,45.7,13.9,214,4400,2
1,2,45.8,14.2,219,4700,2
2,2,39.7,18.9,184,3550,1
2,2,40.6,18.8,193,3800,1
2,3,36.2,17.3,187,3300,2
2,2,39,17.5,186,3550,2
2,2,37.9,18.6,172,3150,2
2,1,35.7,17,189,3350,2
