species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
1,1,39.1,18.7,181,3750,1
1,1,38.9,17.8,181,3625,2
1,1,34.6,21.1,198,4400,1
1,2,38.2,18.1,185,3950,1
1,2,40.5,17.9,187,3200,2
1,2,37.9,18.6,172,3150,2
1,2,40.5,18.9,180,3950,1
1,3,37.2,18.1,178,3900,1
1,3,39.5,17.8,188,3300,2
1,3,36.4,17,195,3325,2
1,3,42.2,18.5,180,3550,2
1,3,36,18.5,186,3100,2
1,3,37,16.9,185,3000,2
1,3,39.6,18.8,190,4600,1
1,3,36,17.9,190,3450,2
1,2,40.1,18.9,188,4300,1
1,2,35,17.9,190,3450,2
1,2,42,19.5,200,4050,1
1,2,41.1,18.2,192,4050,1
1,2,41.6,18,192,3950,1
1,1,39.7,18.4,190,3900,1
1,1,37.2,19.4,184,3900,1
1,1,35.1,19.4,193,4200,1
1,3,36.9,18.6,189,3500,2
1,3,38.3,19.2,189,3950,1
1,3,41.1,18.1,205,4300,1
1,3,36.2,17.3,187,3300,2
1,3,40.8,18.9,208,4300,1
1,3,40.3,18.5,196,4350,1
1,3,43.2,18.5,192,4100,1
1,2,41,20,203,4725,1
1,2,43.2,19,197,4775,1
1,2,45.6,20.3,191,4600,1
1,2,42.2,19.5,197,4275,1
1,2,39.6,20.7,191,3900,2
1,2,42.7,18.3,196,4075,1
1,1,38.6,17,188,2900,2
1,1,35.2,15.9,186,3050,2
1,1,41.5,18.3,195,4300,1
1,1,38.5,17.9,190,3325,2
1,3,36.8,18.5,193,3500,2
1,3,38.1,17.6,187,3425,2
1,3,41.1,17.5,190,3900,1
1,3,40.2,20.1,200,3975,1
1,3,37,16.5,185,3400,2
1,3,40.7,17,190,3725,1
1,3,37.3,16.8,192,3000,2
1,3,36,17.8,195,3450,2
1,3,46.8,16.5,189,3650,2
1,3,46.6,17.8,193,3800,2
1,3,42.5,16.7,187,3350,2
1,2,55.9,17,228,5600,1
1,2,49.4,15.8,216,4925,1
2,2,38.8,17.2,180,3800,1
2,1,36.7,18.8,187,3800,2
2,1,36.2,17.2,187,3150,2
2,3,42.3,21.2,191,4150,1
2,1,36.6,17.8,185,3700,2
2,1,34.4,18.4,184,3325,2
2,3,37.3,17.8,191,3350,2
2,2,37.6,17,185,3600,2
2,3,39.7,17.9,193,4250,1
2,3,41.1,19,182,3425,1
2,2,41.1,19.1,188,4100,1
2,3,36,17.1,187,3700,2
2,1,39.5,17.4,186,3800,2
2,1,38.8,17.6,191,3275,2
2,3,41.3,20.3,194,3550,1
2,3,36.6,18.4,184,3475,2
2,2,39,17.5,186,3550,2
2,1,41.1,17.6,182,3200,2
2,2,41.4,18.6,191,3700,1
2,2,37.8,18.3,174,3400,2
2,3,50,19.5,196,3900,1
2,3,45.2,17.8,198,3950,2
2,3,51.3,18.2,197,3750,1
2,3,51.7,20.3,194,3775,1
2,3,47,17.3,185,3700,2
2,3,45.9,17.1,190,3575,2
2,3,49.5,19,200,3800,1
2,3,46.4,17.8,191,3700,2
2,3,52.8,20,205,4550,1
2,3,47.5,16.8,199,3900,2
2,3,53.5,19.9,205,4500,1
2,3,46.2,17.5,187,3650,2
2,3,50.9,17.9,196,3675,2
2,3,51.4,19,201,3950,1
2,3,45.6,19.4,194,3525,2
2,3,50.8,19,210,4100,1
2,3,50.2,18.7,198,3775,2
2,2,45.5,13.9,210,4200,2
2,2,44,13.6,208,4350,2
2,2,46.5,14.5,213,4400,2
2,2,45.7,13.9,214,4400,2
2,2,47.5,14.2,209,4600,2
3,2,37.8,20,190,4250,1
3,1,35.9,16.6,190,3050,2
3,2,37.6,19.1,194,3750,1
3,2,40.6,18.6,183,3550,1
3,2,39.7,18.9,184,3550,1
3,3,38.8,20,190,3950,1
3,3,41.5,18.5,201,4000,1
3,1,42.9,17.6,196,4700,1
3,1,39.3,20.6,190,3650,1
3,2,38.2,20,190,3900,1
3,3,42.5,17.3,187,3350,2
3,3,47.6,18.3,195,3850,2
3,3,45.7,17.3,193,3600,2
3,2,48.7,14.1,210,4450,2
3,2,50,15.2,218,5700,1
3,2,47.6,14.5,215,5400,1
3,2,46.5,13.5,210,4550,2
3,2,46.7,15.3,219,5200,1
3,2,43.3,13.4,209,4400,2
3,2,46.8,15.4,215,5150,1
3,2,45.5,13.7,214,4650,2
3,2,46.3,15.8,215,5050,1
3,2,48.2,14.3,210,4600,2
3,2,50,15.3,220,5550,1
3,2,59.6,17,230,6050,1
3,2,48.4,16.3,220,5400,1
3,2,49.6,16,225,5700,1
3,2,50.5,15.9,222,5550,1
3,2,45.2,15.8,215,5300,1
3,2,45.1,14.4,210,4400,2
3,2,46.5,14.4,217,4900,2
3,2,50.4,15.3,224,5550,1
3,2,45.3,13.8,208,4200,2
3,2,49.5,16.2,229,5800,1
3,2,47.7,15,216,4750,2
3,2,46.4,15,216,4700,2
3,2,51.1,16.3,220,6000,1
3,2,45.2,13.8,215,4750,2
3,2,45.2,16.4,223,5950,1
3,2,49.1,14.5,212,4625,2
3,2,46.8,16.1,215,5500,1
3,2,46.2,14.1,217,4375,2
3,2,48.8,16.2,222,6000,1
3,2,49.9,16.1,213,5400,1
