species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
1,1,39.1,18.7,181,3750,1
1,1,39.2,19.6,195,4675,1
1,1,42.5,20.7,197,4500,1
1,1,34.4,18.4,184,3325,2
1,1,46,21.5,194,4200,1
1,2,38.2,18.1,185,3950,1
1,2,35.3,18.9,187,3800,2
1,2,40.6,18.6,183,3550,1
1,3,36.4,17,195,3325,2
1,3,42.2,18.5,180,3550,2
1,3,44.1,19.7,196,4400,1
1,3,39.6,18.8,190,4600,1
1,2,41.3,21.1,195,4400,1
1,2,37.6,17,185,3600,2
1,1,35.9,16.6,190,3050,2
1,1,33.5,19,190,3600,2
1,1,39.6,17.2,196,3550,2
1,1,45.8,18.9,197,4150,1
1,1,35.5,17.5,190,3700,2
1,1,42.8,18.5,195,4250,1
1,1,40.9,16.8,191,3700,2
1,1,35.1,19.4,193,4200,1
1,3,37.3,17.8,191,3350,2
1,3,41.3,20.3,194,3550,1
1,3,36.3,19.5,190,3800,1
1,3,38.9,18.8,190,3600,2
1,3,36.2,17.3,187,3300,2
1,3,40.3,18.5,196,4350,1
1,3,43.2,18.5,192,4100,1
1,2,35,17.9,192,3725,2
1,2,37.9,18.6,193,2925,2
1,2,39.7,18.9,184,3550,1
1,2,43.2,19,197,4775,1
1,2,38.1,16.5,198,3825,2
1,1,38.6,17,188,2900,2
1,1,37.3,20.5,199,3775,1
1,1,35.7,17,189,3350,2
1,1,41.1,18.6,189,3325,1
1,1,37.7,19.8,198,3500,1
1,1,35.2,15.9,186,3050,2
1,1,40.6,19,199,4000,1
1,1,38.8,17.6,191,3275,2
1,3,36.8,18.5,193,3500,2
1,3,41.1,17.5,190,3900,1
1,3,37,16.5,185,3400,2
1,3,39.7,17.9,193,4250,1
1,3,39.2,18.6,190,4250,1
1,3,36,17.1,187,3700,2
1,3,41.5,18.5,201,4000,1
1,2,35.7,16.9,2,3150,2
1,3,32.1,15.5,2,3050,2
1,2,39,17.5,2,3550,2
1,3,36,18.5,2,3100,2
1,1,34.6,21.1,2,4400,1
1,1,42.9,17.6,2,4700,1
1,2,37.6,19.1,2,3750,1
1,3,37.3,16.8,2,3000,2
1,2,38.1,17,2,3175,2
1,1,34.6,17.2,3,3200,2
1,3,42.3,21.2,3,4150,1
1,1,36.6,17.8,2,3700,2
1,1,36.2,17.2,3,3150,2
1,3,40.6,17.2,2,3475,1
1,3,38.1,18.6,2,3700,2
1,3,36.9,18.6,2,3500,2
1,1,41.8,19.4,2,4450,1
1,2,40.6,18.8,3,3800,1
1,2,39.6,17.7,2,3500,2
1,2,40.5,18.9,3,3950,1
1,1,38.6,21.2,2,3800,1
1,1,39.7,18.4,2,3900,1
1,3,37.2,18.1,3,3900,1
1,2,36.4,17.1,2,2850,2
1,3,38.1,17.6,3,3425,2
1,2,41.6,18,2,3950,1
1,3,39.6,18.1,3,4450,1
1,3,35.6,17.5,2,3175,2
1,1,41.5,18.3,2,4300,1
1,2,42.2,19.5,2,4275,1
1,2,41.4,18.6,2,3700,1
1,3,39.2,21.1,3,4150,1
1,1,41.1,17.6,2,3200,2
1,3,39.8,19.1,3,4650,1
1,2,40.5,17.9,2,3200,2
1,1,36.7,18.8,2,3800,2
1,3,38.3,19.2,3,3950,1
